PEILDATUM;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;GEMEENTENUMMER;GEMEENTENAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;AFSTAND;LEERLINGEN
20201001;26PM;00;'t slingertouw;5658GA;EINDHOVEN;772;Eindhoven;Noord-Brabant;Bo;Algemeen bijzonder;40378;526,118493909192;904
20201001;26PN;00;Het Sterrenschip;9408MB;ASSEN;106;Assen;Drenthe;Bo;Openbaar;42719;712,892045454546;352
20201001;26PP;00;OBS De Notenkraker;2496HS;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Openbaar;41572;1953,07514450867;175
20201001;26PR;00;Lea Dasbergschool;7207PA;ZUTPHEN;301;Zutphen;Gelderland;Bo;Openbaar;41566;359,762162162162;370
20201001;26PT;00;Balans;2492MA;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Samenwerking PC, RK;20281;1253,27665706052;694
20201001;26PU;00;Ark NV;2151HV;NIEUW-VENNEP;394;Haarlemmermeer;Noord-Holland;Bo;Protestants-Christelijk;40775;819,389873417722;395
20201001;26PW;00;Het Kristal;1335HZ;ALMERE;34;Almere;Flevoland;Bo;Rooms-Katholiek;40950;2214,19259259259;270
20201001;26PX;00;De Walvis;2492NZ;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Rooms-Katholiek;41447;760,570743405276;417
20201001;26PY;00;De Vlieger;8043RL;ZWOLLE;193;Zwolle;Overijssel;Bo;Rooms-Katholiek;40888;998,320930232558;860
20201001;26PZ;00;Montessorisch Leidschenv;2493ZL;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Algemeen bijzonder;41081;696,937219730942;447
20201001;26RA;00;De Rank;6836GA;ARNHEM;202;Arnhem;Gelderland;Bo;Evangelisch;40994;3584,65384615385;105
20201001;26RK;00;Toermalijn;3893EB;ZEEWOLDE;50;Zeewolde;Flevoland;Bo;Rooms-Katholiek;30357;1288,41228070175;344
20201001;26ZZ;00;OBS Caleidoscoop;1325SX;ALMERE;34;Almere;Flevoland;Bo;Openbaar;41676;676,156398104265;211
20201001;27AA;00;De Optimist;1328BC;ALMERE;34;Almere;Flevoland;Bo;Samenwerking PC, RK;40114;1239,51162790698;258
20201001;27AK;00;De Hasselbraam;5076AM;HAAREN;788;Haaren;Noord-Brabant;Bo;Openbaar;41633;136,355263157895;152
20201001;27BM;00;Chr BS het Krijt;9408MB;ASSEN;106;Assen;Drenthe;Bo;Protestants-Christelijk;32073;927,230769230769;221
20201001;27BN;00;RK BS De Zeppelin;1705JS;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;Bo;Rooms-Katholiek;73919;1312,66564417178;326
20201001;27CA;00;OBS Koolhoven;5036TK;TILBURG;855;Tilburg;Noord-Brabant;Bo;Openbaar;41611;233,147239263804;655
20201001;27CB;00;Basisschool De Bloemaert;5035LZ;TILBURG;855;Tilburg;Noord-Brabant;Bo;Rooms-Katholiek;48101;1463,22044728435;315
20201001;27CC;00;Jan Ligthartsch Driecant;5035LZ;TILBURG;855;Tilburg;Noord-Brabant;Bo;Algemeen bijzonder;41611;2369,71614583333;384
20201001;27CD;00;Islam BSO El Habib;6216XB;MAASTRICHT;935;Maastricht;Limburg;Bo;Islamitisch;41891;4254,37362637363;385
20201001;27CE;00;OBS De Kameleon;5451JH;MILL;815;Mill en Sint Hubert;Noord-Brabant;Bo;Openbaar;41443;466,72131147541;183
20201001;27CF;00;Fontein;2496PN;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Protestants-Christelijk;78782;1307,13043478261;460
20201001;27CG;00;RK Bs De Waterwilg;2631PT;NOOTDORP;1926;Pijnacker-Nootdorp;Zuid-Holland;Bo;Rooms-Katholiek;20281;630,164362519201;651
20201001;27CH;00;RK Bs De Paradijsvogel;2496MT;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Rooms-Katholiek;20281;1016,39093959732;597
20201001;27CJ;00;OBS De Nieuwe Wereld;1448XW;PURMEREND;439;Purmerend;Noord-Holland;Bo;Openbaar;42558;624,269624573379;293
20201001;27CK;00;Ackerweide;2642JK;PIJNACKER;1926;Pijnacker-Nootdorp;Zuid-Holland;Bo;Protestants-Christelijk;78782;620,826470588235;340
20201001;27CL;00;KBS De Achtbaan;3544TT;UTRECHT;344;Utrecht;Utrecht;Bo;Rooms-Katholiek;77195;989,334916864608;421
20201001;27CM;00;De Klimroos;3544AK;UTRECHT;344;Utrecht;Utrecht;Bo;Openbaar;41400;544,426666666667;75
20201001;27CN;00;Basissch De Boomgaard;3544TT;UTRECHT;344;Utrecht;Utrecht;Bo;Protestants-Christelijk;62662;578,83306836248;629
20201001;27CP;00;Pantarijn;3453RD;DE MEERN;344;Utrecht;Utrecht;Bo;Openbaar;41400;662,967320261438;153
20201001;27CR;00;De Krullevaar;3453RD;DE MEERN;344;Utrecht;Utrecht;Bo;Protestants-Christelijk;62662;490,453781512605;357
20201001;27CT;00;RKBS t Veldhuis;3453RD;DE MEERN;344;Utrecht;Utrecht;Bo;Rooms-Katholiek;32099;374,030898876404;356
20201001;27JH;00;De Wonderboom;3824EH;AMERSFOORT;307;Amersfoort;Utrecht;Bo;Protestants-Christelijk;30010;518,393794749403;419
20201001;27JJ;00;Basisschool Panta Rhei;1948DD;BEVERWIJK;375;Beverwijk;Noord-Holland;Bo;Rooms-Katholiek;26158;1093,86357039187;689
20201001;27JK;00;RK BSO Dichterbij;7007LA;DOETINCHEM;222;Doetinchem;Gelderland;Bo;Rooms-Katholiek;50844;458,148051948052;385
20201001;27JN;00;RK Bs De Vendelier;5706KH;HELMOND;794;Helmond;Noord-Brabant;Bo;Rooms-Katholiek;30240;869,906639004149;482
20201001;27JP;00;OBS Brandevoort;5708ZJ;HELMOND;794;Helmond;Noord-Brabant;Bo;Openbaar;41349;1904,95152603232;559
20201001;27JR;00;OBS De Plantage;3991ZE;HOUTEN;321;Houten;Utrecht;Bo;Openbaar;41866;459,945720250522;479
20201001;27JT;00;RK Basisschool De Stek;3991SW;HOUTEN;321;Houten;Utrecht;Bo;Rooms-Katholiek;43318;522,766483516484;364
20201001;27JU;00;Basissch De Zonnewijzer;3991MV;HOUTEN;321;Houten;Utrecht;Bo;Protestants-Christelijk;41528;620,088669950739;406
20201001;27JV;00;RK BSO De Koolvlet;1721HJ;BROEK OP LANGEDIJK;416;Langedijk;Noord-Holland;Bo;Rooms-Katholiek;41364;1107,1921182266;203
20201001;27JW;00;Basisschool De Oversteek;6515DJ;NIJMEGEN;268;Nijmegen;Gelderland;Bo;Openbaar;29810;268,210776545166;631
20201001;27JX;00;Obs De Bonte Tol;2642JK;PIJNACKER;1926;Pijnacker-Nootdorp;Zuid-Holland;Bo;Openbaar;41488;890,088397790055;181
20201001;27KA;00;Evangelische Basisschool;5631JB;EINDHOVEN;772;Eindhoven;Noord-Brabant;Bo;Evangelisch;41213;4289,33333333333;354
20201001;27KE;00;Basisschool De Klipper;2652ER;BERKEL EN RODENRIJS;1621;Lansingerland;Zuid-Holland;Bo;Openbaar;41488;733,605652759085;743
20201001;27LH;00;RK Basisschool Het Talent;6663HA;LENT;268;Nijmegen;Gelderland;Bo;Rooms-Katholiek;29810;847,794871794872;585
20201001;27LJ;00;Basisschool Mozaiek Dichteren;7007LA;DOETINCHEM;222;Doetinchem;Gelderland;Bo;Openbaar;41371;245,346341463415;205
20201001;27LR;00;Het Lichtpunt;3162WD;RHOON;613;Albrandswaard;Zuid-Holland;Bo;Protestants-Christelijk;59555;602,701834862385;436
20201001;27LU;00;Hasselbraam;1705JS;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;Bo;Openbaar;41364;990,409090909091;198
20201001;27LV;00;RK Basisschool De Malelande;3824BE;AMERSFOORT;307;Amersfoort;Utrecht;Bo;Rooms-Katholiek;71488;340,803059273423;523
20201001;27LW;00;Het Moza?ek;2408ST;ALPHEN AAN DEN RIJN;484;Alphen aan den Rijn;Zuid-Holland;Bo;Protestants-Christelijk;40530;205,776824034335;466
20201001;27LX;00;Reflector;1705SP;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;Bo;Rooms-Katholiek;73919;1354,40456431535;482
20201001;27LY;00;RK Basisschool Het Baken;2652CJ;BERKEL EN RODENRIJS;1621;Lansingerland;Zuid-Holland;Bo;Rooms-Katholiek;40928;977,413621262458;602
20201001;27LZ;00;OBS De Wizard;7425GX;DEVENTER;150;Deventer;Overijssel;Bo;Openbaar;41862;581,767942583732;418
20201001;27MA;00;Basisschool De Horizon;1504BA;ZAANDAM;479;Zaanstad;Noord-Holland;Bo;Islamitisch;41256;1774,66567164179;337
20201001;27MB;00;El Amien II;1061HB;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Islamitisch;40294;1657,76816608997;289
20201001;27MC;00;Prins Florisschool;2729CN;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Protestants-Christelijk;40377;774,729613733906;466
20201001;27ME;00;RK Basisschool De Oostwijzer;2721GG;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Rooms-Katholiek;40377;840,116817724068;993
20201001;27MG;00;De Trinoom;2729EB;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Openbaar;41390;857,413043478261;184
20201001;27MH;00;Openbare Basisschool De Kern;6718GG;EDE GLD;228;Ede;Gelderland;Bo;Openbaar;41674;2836,69326683292;401
20201001;27ML;00;OBS De Zeester;1948DD;BEVERWIJK;375;Beverwijk;Noord-Holland;Bo;Openbaar;41375;936,193846153846;325
20201001;27NL;00;Maximaschool;8939CB;LEEUWARDEN;80;Leeuwarden;Friesland;Bo;Protestants-Christelijk;41419;371,67397260274;365
20201001;27NM;00;De Vlindertuin;1705NP;HEERHUGOWAARD;398;Heerhugowaard;Noord-Holland;Bo;Protestants-Christelijk;73919;389,369426751592;314
20201001;27NN;00;PWA Soest;3769JA;SOESTERBERG;342;Soest;Utrecht;Bo;Openbaar;41481;2492,82456140351;171
20201001;27NP;00;Neptunus;1087AX;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;325,939130434783;230
20201001;27NR;00;de Marke;3825DJ;AMERSFOORT;307;Amersfoort;Utrecht;Bo;Rooms-Katholiek;71488;351,143799472296;758
20201001;27NT;00;Klavertje vier;2134DL;HOOFDDORP;394;Haarlemmermeer;Noord-Holland;Bo;Rooms-Katholiek;42683;773,266666666667;645
20201001;27NU;00;OBS De Compositie;1328LE;ALMERE;34;Almere;Flevoland;Bo;Openbaar;41676;1141,01673640167;478
20201001;27NV;00;Willibrordschool;1087EM;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Rooms-Katholiek;41023;440,78453038674;362
20201001;27NW;00;PCBO Regenboog-Osseveld;7325EA;APELDOORN;200;Apeldoorn;Gelderland;Bo;Protestants-Christelijk;82526;1010,05241935484;249
20201001;27NX;00;De Vuurvogel;3826EG;AMERSFOORT;307;Amersfoort;Utrecht;Bo;Protestants-Christelijk;30010;753,70652173913;552
20201001;27NY;00;De Gondelier;3826EG;AMERSFOORT;307;Amersfoort;Utrecht;Bo;Openbaar;41514;741,070671378092;284
20201001;27NZ;00;OBS Oeboentoe;1448PN;PURMEREND;439;Purmerend;Noord-Holland;Bo;Openbaar;42558;276,35119047619;168
20201001;27PB;00;De Optimist;2134XS;HOOFDDORP;394;Haarlemmermeer;Noord-Holland;Bo;Openbaar;13622;1483,14765100671;600
20201001;27PC;00;Al Qoeba;2525GG;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Islamitisch;40389;1951,5649122807;285
20201001;27PD;00;Zonnestraal;2498BZ;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Protestants-Christelijk;78782;634,105617977528;445
20201001;27PE;00;Venne;2152TB;NIEUW-VENNEP;394;Haarlemmermeer;Noord-Holland;Bo;Rooms-Katholiek;40775;776,023041474654;217
20201001;27PF;00;Opmaat;2152TB;NIEUW-VENNEP;394;Haarlemmermeer;Noord-Holland;Bo;Protestants-Christelijk;40775;559,770623742455;497
20201001;27PG;00;CBS De Brandaris;2134DL;HOOFDDORP;394;Haarlemmermeer;Noord-Holland;Bo;Protestants-Christelijk;42683;427,303921568627;307
20201001;27PH;00;De Wendakker;8043VW;ZWOLLE;193;Zwolle;Overijssel;Bo;Protestants-Christelijk;40934;572,662587412587;572
20201001;27PK;00;'t Kofschip;1132LE;VOLENDAM;385;Edam-Volendam;Noord-Holland;Bo;Rooms-Katholiek;72853;82,2585365853659;205
20201001;27PN;00;Arcade;3544DB;UTRECHT;344;Utrecht;Utrecht;Bo;Algemeen bijzonder;41226;628,529914529915;351
20201001;27PR;00;Al Wafa;1063AD;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Islamitisch;40400;2422,78514588859;377
20201001;27PR;02;An Nasr;1816XA;ALKMAAR;361;Alkmaar;Noord-Holland;Bo;Islamitisch;40400;4913,58267716535;127
20201001;27PT;00;Piet Hein;1019BM;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Algemeen bijzonder;41857;1098,78728606357;410
20201001;27PU;00;Zuiderzee;1086VB;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Algemeen bijzonder;41857;844,695652173913;209
20201001;27PW;00;Lucas-Galecop;3437KB;NIEUWEGEIN;356;Nieuwegein;Utrecht;Bo;Rooms-Katholiek;77975;659,5;222
20201001;27PX;00;RKBS De Bras;2498BZ;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Rooms-Katholiek;20281;743,296072507553;331
20201001;27RK;00;o.b.s. Het Slingertouw;8448RP;HEERENVEEN;74;Heerenveen;Friesland;Bo;Openbaar;41573;1303,28032345013;372
20201001;27RL;00;Parijsch;4105LE;CULEMBORG;216;Culemborg;Gelderland;Bo;Openbaar;41876;886,680952380952;212
20201001;27RM;00;'t Kofschip;3356DA;PAPENDRECHT;590;Papendrecht;Zuid-Holland;Bo;Openbaar;41560;1230,83737024221;289
20201001;27RN;00;De Wynwizer;8939CR;LEEUWARDEN;80;Leeuwarden;Friesland;Bo;Openbaar;41850;782,875;304
20201001;27RP;00;Petrus Dathenusschool;8322BA;URK;184;Urk;Flevoland;Bo;Reformatorisch;49844;184,223333333333;300
20201001;27RT;00;de Vijf-er;7424DE;DEVENTER;150;Deventer;Overijssel;Bo;Rooms-Katholiek;23128;636,329391891892;592
20201001;27RU;00;O.B.S. De Dobbelsteen;4631NM;HOOGERHEIDE;873;Woensdrecht;Noord-Brabant;Bo;Openbaar;41778;724,373333333333;226
20201001;27TZ;00;De Lispeltuut;8226TA;LELYSTAD;995;Lelystad;Flevoland;Bo;Rooms-Katholiek;40950;2368,68582375479;261
20201001;27UA;00;De Klimboom;5685GW;BEST;753;Best;Noord-Brabant;Bo;Algemeen bijzonder;26977;668,679012345679;405
20201001;27UB;00;Obs Het Meesterwerk;1328ST;ALMERE;34;Almere;Flevoland;Bo;Openbaar;41676;781,341463414634;164
20201001;27UC;00;OBS de Meander;9204JT;DRACHTEN;90;Smallingerland;Friesland;Bo;Openbaar;41735;843,317708333333;385
20201001;27UE;00;de Wizzert;5411EA;ZEELAND;1685;Landerd;Noord-Brabant;Bo;Openbaar;75388;429,532663316583;199
20201001;27UZ;00;de Fonkelsteen;5301RT;ZALTBOMMEL;297;Zaltbommel;Gelderland;Bo;Algemeen bijzonder;74049;979,295238095238;105
20201001;27VA;00;pca;2493ZL;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Bo;Openbaar;41572;661,254054054054;370
20201001;27WY;00;OBS Kloosterveen;9408JA;ASSEN;106;Assen;Drenthe;Bo;Openbaar;42719;603,942558746736;384
20201001;27WZ;00;Kindcentrum De Kloostertuin;9408AM;ASSEN;106;Assen;Drenthe;Bo;Protestants-Christelijk;32073;3017,66230936819;459
20201001;27XA;00;De Wijngaard;3344PK;HENDRIK-IDO-AMBACHT;531;Hendrik-Ido-Ambacht;Zuid-Holland;Bo;Protestants-Christelijk;80433;449,049295774648;426
20201001;27XB;00;Sol De Watervlinder;3344PK;HENDRIK-IDO-AMBACHT;531;Hendrik-Ido-Ambacht;Zuid-Holland;Bo;Openbaar;42562;520,342783505155;780
20201001;27XC;00;De Arabesk;6846HR;ARNHEM;202;Arnhem;Gelderland;Bo;Rooms-Katholiek;40812;364,748201438849;417
20201001;27XD;00;Basisschool De Boemerang;5035BR;TILBURG;855;Tilburg;Noord-Brabant;Bo;Rooms-Katholiek;48101;1360,52747252747;273
20201001;27XE;00;OBS Het Woudhuis;7325NT;APELDOORN;200;Apeldoorn;Gelderland;Bo;Openbaar;41616;843,697478991597;119
20201001;27XG;00;C.B.S. Het Startblok;3845KA;HARDERWIJK;243;Harderwijk;Gelderland;Bo;Protestants-Christelijk;85476;223,697115384615;416
20201001;27XH;00;Oecum. Daltonsch De Windwijzer;1319DA;ALMERE;34;Almere;Flevoland;Bo;Samenwerking PC, RK;40114;976,928315412186;280
20201001;27XJ;00;Het Drieluik;1336BK;ALMERE;34;Almere;Flevoland;Bo;Samenwerking PC, RK;40114;1073,24093264249;772
20201001;27XK;00;Het Spectrum;3059PN;ROTTERDAM;599;Rotterdam;Zuid-Holland;Bo;Protestants-Christelijk;74531;1054,20052083333;768
20201001;27YB;00;de Rank;7425GX;DEVENTER;150;Deventer;Overijssel;Bo;Protestants-Christelijk;23128;893,236559139785;186
20201001;27YC;00;De Bareel;1967EH;HEEMSKERK;396;Heemskerk;Noord-Holland;Bo;Samenwerking PC, RK;40712;982,546391752577;485
20201001;27YD;00;De Bogen;3845GC;HARDERWIJK;243;Harderwijk;Gelderland;Bo;Openbaar;41345;477,937007874016;128
20201001;27YE;00;De Schatgraaf;6846HR;ARNHEM;202;Arnhem;Gelderland;Bo;Openbaar;41645;319,972826086957;368
20201001;27YF;00;Vleuterweide;3452CZ;VLEUTEN;344;Utrecht;Utrecht;Bo;Openbaar;41400;210,463888888889;360
20201001;27YG;00;Basisschool Al Qalam;2804RT;GOUDA;513;Gouda;Zuid-Holland;Bo;Islamitisch;31118;2943,3660130719;459
20201001;27YH;00;Twaalfruiter;3452SR;VLEUTEN;344;Utrecht;Utrecht;Bo;Rooms-Katholiek;32099;327,903831705485;1331
20201001;27YJ;00;I.B.S. Ikra;3317JP;DORDRECHT;505;Dordrecht;Zuid-Holland;Bo;Islamitisch;30731;4182,47869674185;402
20201001;27YK;00;De Kleine Kapitein;1019RT;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Openbaar;41774;600,380952380952;147
20201001;27YN;00;De Ontdekking;1319DA;ALMERE;34;Almere;Flevoland;Bo;Openbaar;42535;2365,34046193328;1172
20201001;27YP;00;KinderCampus;1212CB;HILVERSUM;402;Hilversum;Noord-Holland;Bo;Algemeen bijzonder;40676;2093,5773480663;364
20201001;27YV;00;Het SchatRijk;1544VZ;ZAANDIJK;479;Zaanstad;Noord-Holland;Bo;Evangelisch;41251;3569,22;201
20201001;27YW;00;De Driehoek;2994AS;BARENDRECHT;489;Barendrecht;Zuid-Holland;Bo;Openbaar;42709;951,487179487179;273
20201001;27YZ;00;De Groote Wielen;5247JT;ROSMALEN;796;'s-Hertogenbosch;Noord-Brabant;Bo;Openbaar;41672;904,648729446936;669
20201001;27ZA;00;Wittering.nl;5247JT;ROSMALEN;796;'s-Hertogenbosch;Noord-Brabant;Bo;Rooms-Katholiek;74049;1853,38076923077;260
20201001;27ZD;00;SBO Het Avontuur;2496ZC;'S-GRAVENHAGE;518;'s-Gravenhage;Zuid-Holland;Sbo;Samenwerking PC, RK;20281;2578,88324873096;199
20201001;28AE;00;Jenaplanschool Zonnewereld;3452CB;VLEUTEN;344;Utrecht;Utrecht;Bo;Protestants-Christelijk;62662;424,386699507389;406
20201001;28AF;00;De Ridderhof;3543BZ;UTRECHT;344;Utrecht;Utrecht;Bo;Protestants-Christelijk;62662;1044,86032388664;494
20201001;28AG;00;Obs De Meander;1567HD;ASSENDELFT;479;Zaanstad;Noord-Holland;Bo;Openbaar;41852;1536,80167597765;358
20201001;28AJ;00;De Odyssee;1060LW;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Protestants-Christelijk;81316;975,332552693208;427
20201001;28AK;00;rk basisschool St. Aloysius;2801ZM;GOUDA;513;Gouda;Zuid-Holland;Bo;Rooms-Katholiek;40765;977,94403892944;411
20201001;28AL;00;Fl. Nightingale;2721GE;ZOETERMEER;637;Zoetermeer;Zuid-Holland;Bo;Openbaar;41390;954,126255380201;697
20201001;28AM;00;Het Avontuur;1336JG;ALMERE;34;Almere;Flevoland;Bo;Openbaar;42535;452,392712550607;248
20201001;28AN;00;Kornak;1911LP;UITGEEST;450;Uitgeest;Noord-Holland;Bo;Rooms-Katholiek;40712;77,1144278606965;402
20201001;28AP;00;Het Mozaiek;3893EB;ZEEWOLDE;50;Zeewolde;Flevoland;Bo;Protestants-Christelijk;42600;1022,63253012048;166
20201001;28AU;00;Het Bovenland;1066ER;AMSTERDAM;363;Amsterdam;Noord-Holland;Bo;Rooms-Katholiek;41023;2779,40356083086;337
20201001;28AV;00;CBS De Vrijenburg;2994CD;BARENDRECHT;489;Barendrecht;Zuid-Holland;Bo;Protestants-Christelijk;37949;853,395894428152;341
